[133 rows x 6 columns]
            번호     개방서비스명  영업상태구분코드                           소재지전체주소                         사업장명       업태구분명
7769      7770    식품제조가공업         1         제주특별자치도 제주시 조천읍 신촌리 454-4                         냠냠제주  기타 식품제조가공업
7920      7921    식품제조가공업         1         제주특별자치도 제주시 화북일동 4043-6번지                        마이티커피     식품제조가공업
11688    11689    식품제조가공업         1         제주특별자치도 서귀포시 서호동 1525-2번지                        비브레이브     식품제조가공업
12319    12320    식품제조가공업         1          제주특별자치도 제주시 용담이동 634-5번지                         소콩달콩  기타 식품제조가공업
13246    13247    식품제조가공업         1       제주특별자치도 제주시 애월읍 장전리 1393-14                 세븐스타제주영농조합법인  기타 식품제조가공업
13317    13318    식품제조가공업         1            제주특별자치도 서귀포시 서홍동 355-8                         고미커피  기타 식품제조가공업
14998    14999    식품제조가공업         1      제주특별자치도 제주시 이도이동 1767-1번지 1층                     클라우드나인커피  기타 식품제조가공업
17163    17164    식품제조가공업         1             제주특별자치도 제주시 노형동 906-2                          안젤라  기타 식품제조가공업
19721    19722    식품제조가공업         1            제주특별자치도 제주시 화북이동 948-1                        커피라이트  기타 식품제조가공업
24381    24382    식품제조가공업         1         제주특별자치도 제주시 조천읍 선흘리 624-1                          연화차  기타 식품제조가공업
504308  504309  즉석판매제조가공업         1      제주특별자치도 서귀포시 대정읍 보성리 2476-10                        1.5커피   즉석판매제조가공업
504553  504554  즉석판매제조가공업         1          제주특별자치도 제주시 삼도이동 1192-14                  세컨드하우스바이누하스   즉석판매제조가공업
505039  505040  즉석판매제조가공업         1           제주특별자치도 제주시 용담이동 358-29                       피프스페이스   즉석판매제조가공업
505199  505200  즉석판매제조가공업         1           제주특별자치도 제주시 삼양이동 2100-3                      우미지베이커리   즉석판매제조가공업
505925  505926  즉석판매제조가공업         1            제주특별자치도 제주시 노형동 3806-8                     에스프레소라운지   즉석판매제조가공업
505952  505953  즉석판매제조가공업         1                제주특별자치도 제주시 도남동 96                         청을담다   즉석판매제조가공업
506144  506145  즉석판매제조가공업         1            제주특별자치도 서귀포시 서귀동 314-2                         서귀샌드   즉석판매제조가공업
506145  506146  즉석판매제조가공업         1        제주특별자치도 서귀포시 남원읍 위미리 939-7                       에이드롭커피   즉석판매제조가공업
506433  506434  즉석판매제조가공업         1            제주특별자치도 제주시 오라이동 68-16                         오늘제주   즉석판매제조가공업
506459  506460  즉석판매제조가공업         1          제주특별자치도 제주시 도련일동 1769-11                     유미쿠킹스튜디오   즉석판매제조가공업
506849  506850  즉석판매제조가공업         1           제주특별자치도 제주시 이도이동 2003-5                      어글리딜리셔스   즉석판매제조가공업
507290  507291  즉석판매제조가공업         1            제주특별자치도 서귀포시 서홍동 290-8                      과일애&설기애   즉석판매제조가공업
507388  507389  즉석판매제조가공업         1        제주특별자치도 서귀포시 남원읍 의귀리 849-1                       블루미270   즉석판매제조가공업
507473  507474  즉석판매제조가공업         1           제주특별자치도 제주시 용담일동 236-10                        꽃피는커피   즉석판매제조가공업
508680  508681  즉석판매제조가공업         1       제주특별자치도 제주시 애월읍 광령리 1003-12                        프래그란스   즉석판매제조가공업
510003  510004  즉석판매제조가공업         1             제주특별자치도 제주시 도남동 918-3                          카페직   즉석판매제조가공업
510382  510383  즉석판매제조가공업         1           제주특별자치도 서귀포시 서호동 1232-4                         제주의봄   즉석판매제조가공업
514650  514651  즉석판매제조가공업         1        제주특별자치도 제주시 애월읍 납읍리 2274-2                         화의기억   즉석판매제조가공업
514651  514652  즉석판매제조가공업         1           제주특별자치도 제주시 용담일동 243-11                      썸오브어스커피   즉석판매제조가공업
514719  514720  즉석판매제조가공업         1        제주특별자치도 서귀포시 성산읍 성산리 399-9                          시호스   즉석판매제조가공업
515109  515110  즉석판매제조가공업         1         제주특별자치도 제주시 애월읍 고내리 833-1                          롱사르   즉석판매제조가공업
515713  515714  즉석판매제조가공업         1          제주특별자치도 제주시 이도이동 1132-18                       제주밀연구회   즉석판매제조가공업
516082  516083  즉석판매제조가공업         1         제주특별자치도 제주시 구좌읍 행원리 814-2                      부이크브루어스   즉석판매제조가공업
522491  522492  즉석판매제조가공업         1        제주특별자치도 제주시 조천읍 함덕리 2592-1                 아체레타커피로스팅하우스   즉석판매제조가공업        
522834  522835  즉석판매제조가공업         1           제주특별자치도 제주시 일도일동 1479-1                          제주스   즉석판매제조가공업
522947  522948  즉석판매제조가공업         1           제주특별자치도 제주시 이도일동 1401-1                         컴플렉스   즉석판매제조가공업
524181  524182  즉석판매제조가공업         1           제주특별자치도 제주시 아라일동 2377-3                         유스커피   즉석판매제조가공업
524290  524291  즉석판매제조가공업         1  제주특별자치도 제주시 이도이동 1984-2 타임하우스 A동                        잼나는청춘   즉석판매제조가공업
524452  524453  즉석판매제조가공업         1        제주특별자치도 제주시 애월읍 하귀1리 117-1                       제라진마카롱   즉석판매제조가공업
524466  524467  즉석판매제조가공업         1          제주특별자치도 제주시 구좌읍 하도리 3075                      더블유삼공칠오   즉석판매제조가공업
524620  524621  즉석판매제조가공업         1          제주특별자치도 제주시 조천읍 조천리 2361                    무우수커피로스터스   즉석판매제조가공업
525107  525108  즉석판매제조가공업         1       제주특별자치도 제주시 노형동 2579-5 주립빌딩                         탤러해시   즉석판매제조가공업
525462  525463  즉석판매제조가공업         1           제주특별자치도 제주시 아라일동 6089-2                         쿠키덜트   즉석판매제조가공업
525658  525659  즉석판매제조가공업         1           제주특별자치도 제주시 도두일동 2539-1                        아이쿠키유   즉석판매제조가공업
528374  528375  즉석판매제조가공업         1          제주특별자치도 제주시 일도이동 1043-24                          뚝딱청   즉석판매제조가공업
