번호,개방서비스명,영업상태구분코드,소재지전체주소,사업장명,업태구분명,인허가일자,폐업일자
7870,식품제조가공업,1,제주특별자치도 제주시 일도이동 83-7번지,커피예가,기타 식품제조가공업,2014-01-10,
7921,식품제조가공업,1,제주특별자치도 제주시 화북일동 4043-6번지,마이티커피,식품제조가공업,2014-08-14,
11689,식품제조가공업,1,제주특별자치도 서귀포시 서호동 1525-2번지,비브레이브,식품제조가공업,2014-03-17,
12087,식품제조가공업,1,제주특별자치도 제주시 한경면 조수리 4007-2번지,하소로커피,기타 식품제조가공업,2016-12-14,
13318,식품제조가공업,1,제주특별자치도 서귀포시 서홍동 355-8,고미커피,기타 식품제조가공업,2022-04-01,
14999,식품제조가공업,1,제주특별자치도 제주시 이도이동 1767-1번지 1층,클라우드나인커피,기타 식품제조가공업,2020-03-04,
19722,식품제조가공업,1,제주특별자치도 제주시 화북이동 948-1,커피라이트,기타 식품제조가공업,2021-09-24,
49519,식품제조가공업,3,제주특별자치도 제주시 일도이동 367-26번지,제주빈,기타 식품제조가공업,2016-01-13,2016-11-28
49589,식품제조가공업,3,제주특별자치도 제주시 건입동 940-3번지 제주건입동현대아파트 109동 상가16호,카페누리,기타 식품제조가공업,2015-11-06,2016-05-27
57297,식품제조가공업,3,제주특별자치도 서귀포시 안덕면 사계리 3136-3번지,제주커피수목원,기타 식품제조가공업,2017-04-13,2018-01-30
58369,식품제조가공업,3,제주특별자치도 제주시 노형동 911-6 카리스빌,플랏포커피,기타 식품제조가공업,2017-12-29,2021-09-03
77895,식품제조가공업,3,제주특별자치도 서귀포시 안덕면 사계리 3136-3,제주커피수목원,기타 식품제조가공업,2021-03-02,2023-03-23
223892,즉석판매제조가공업,3,제주특별자치도 제주시 건입동 940-3 현대아파트,한미숙커피공방,즉석판매제조가공업,2021-11-30,2023-02-23
235413,즉석판매제조가공업,3,제주특별자치도 제주시 노형동 2420,인바이트유,즉석판매제조가공업,2020-04-02,2020-12-18
312189,즉석판매제조가공업,3,제주특별자치도 제주시 용담일동 249-4,어피니티,즉석판매제조가공업,2019-10-24,2020-05-28
504309,즉석판매제조가공업,1,제주특별자치도 서귀포시 대정읍 보성리 2476-10,1.5커피,즉석판매제조가공업,2022-05-19,
505040,즉석판매제조가공업,1,제주특별자치도 제주시 용담이동 358-29,피프스페이스,즉석판매제조가공업,2022-06-27,
505926,즉석판매제조가공업,1,제주특별자치도 제주시 노형동 3806-8,에스프레소라운지,즉석판매제조가공업,2022-05-25,
506146,즉석판매제조가공업,1,제주특별자치도 서귀포시 남원읍 위미리 939-7,에이드롭커피,즉석판매제조가공업,2022-06-22,
507474,즉석판매제조가공업,1,제주특별자치도 제주시 용담일동 236-10,꽃피는커피,즉석판매제조가공업,2021-02-04,
514652,즉석판매제조가공업,1,제주특별자치도 제주시 용담일동 243-11,썸오브어스커피,즉석판매제조가공업,2022-08-11,
516083,즉석판매제조가공업,1,제주특별자치도 제주시 구좌읍 행원리 814-2,부이크브루어스,즉석판매제조가공업,2022-07-05,
522492,즉석판매제조가공업,1,제주특별자치도 제주시 조천읍 함덕리 2592-1,아체레타커피로스팅하우스,즉석판매제조가공업,2021-03-09,
522948,즉석판매제조가공업,1,제주특별자치도 제주시 이도일동 1401-1,컴플렉스,즉석판매제조가공업,2021-04-01,
524182,즉석판매제조가공업,1,제주특별자치도 제주시 아라일동 2377-3,유스커피,즉석판매제조가공업,2021-03-02,
524621,즉석판매제조가공업,1,제주특별자치도 제주시 조천읍 조천리 2361,무우수커피로스터스,즉석판매제조가공업,2021-03-29,
525108,즉석판매제조가공업,1,제주특별자치도 제주시 노형동 2579-5 주립빌딩,탤러해시,즉석판매제조가공업,2021-04-09,
539045,즉석판매제조가공업,1,제주특별자치도 제주시 애월읍 신엄리 1989-3,로쿤커피,즉석판매제조가공업,2022-11-23,
540265,즉석판매제조가공업,1,제주특별자치도 제주시 한림읍 옹포리 227-1,무한의서커피로스터스,즉석판매제조가공업,2022-11-29,
541857,즉석판매제조가공업,1,제주특별자치도 제주시 노형동 2527-12,먼트커피,즉석판매제조가공업,2021-08-09,
542098,즉석판매제조가공업,1,제주특별자치도 서귀포시 법환동 1289-2,홉히,즉석판매제조가공업,2021-07-09,
543073,즉석판매제조가공업,1,제주특별자치도 제주시 한림읍 명월리 307-8,카페화가,즉석판매제조가공업,2021-08-26,
543788,즉석판매제조가공업,1,제주특별자치도 제주시 삼도일동 579-2,메종드카페,즉석판매제조가공업,2021-07-07,
544710,즉석판매제조가공업,1,제주특별자치도 제주시 노형동 2524-6,허커피로스터스,즉석판매제조가공업,2020-08-28,
551787,즉석판매제조가공업,1,제주특별자치도 서귀포시 안덕면 상창리 1579-28,메종노트르테르(MAISON NOTRE TERRE),즉석판매제조가공업,2023-02-27,
553825,즉석판매제조가공업,1,제주특별자치도 서귀포시 성산읍 고성리 2040-1,제주커피박물관2,즉석판매제조가공업,2023-03-31,
556899,즉석판매제조가공업,1,제주특별자치도 제주시 노형동 2420,인바이트유,즉석판매제조가공업,2021-10-26,
572506,즉석판매제조가공업,1,제주특별자치도 제주시 건입동 941-5,노픈커피,즉석판매제조가공업,2022-02-09,
572569,즉석판매제조가공업,1,제주특별자치도 제주시 이도이동 1766-7,파인더,즉석판매제조가공업,2022-03-07,
572629,즉석판매제조가공업,1,제주특별자치도 서귀포시 법환동 1275-7,법환동커피,즉석판매제조가공업,2022-03-17,
573552,즉석판매제조가공업,1,제주특별자치도 제주시 오라이동 94-1,7화음커피,즉석판매제조가공업,2022-02-24,
575828,즉석판매제조가공업,1,제주특별자치도 제주시 삼도이동 300-17 삼도골드빌1차,전농로일공일,즉석판매제조가공업,2017-12-01,
581247,즉석판매제조가공업,1,제주특별자치도 제주시 아라일동 6120-3,케이빈,즉석판매제조가공업,2022-04-12,
600844,즉석판매제조가공업,1,제주특별자치도 제주시 이도이동 317-9,제주바솔트,즉석판매제조가공업,2019-02-20,
504554,즉석판매제조가공업,1,제주특별자치도 제주시 삼도이동 1192-14,세컨드하우스바이누하스,즉석판매제조가공업,2022-05-04,
508681,즉석판매제조가공업,1,제주특별자치도 제주시 애월읍 광령리 1003-12,프래그란스,즉석판매제조가공업,2020-12-22,
514720,즉석판매제조가공업,1,제주특별자치도 서귀포시 성산읍 성산리 399-9,시호스,즉석판매제조가공업,2022-08-02,
522835,즉석판매제조가공업,1,제주특별자치도 제주시 일도일동 1479-1,제주스,즉석판매제조가공업,2021-03-19,
539440,즉석판매제조가공업,1,제주특별자치도 서귀포시 표선면 가시리 2520-5,담다제주,즉석판매제조가공업,2022-11-11,
558792,즉석판매제조가공업,1,제주특별자치도 제주시 구좌읍 평대리 1958-7,유랑노점아일랜드조르바,즉석판매제조가공업,2020-05-11,
559258,즉석판매제조가공업,1,제주특별자치도 제주시 애월읍 하가리 1415,제레미,즉석판매제조가공업,2020-06-16,
560405,즉석판매제조가공업,1,제주특별자치도 서귀포시 안덕면 덕수리 1964,슬레이트룸커피,즉석판매제조가공업,2018-08-08,
565959,즉석판매제조가공업,1,제주특별자치도 제주시 연동 1518-15,인피넛티,즉석판매제조가공업,2022-01-13,
